row_id,clock_type,date_value,timestamp_value,source_id,source_role,source_tier,status,note
source_publication_date:drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,source_publication_date,2026-05-22,,drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,,national_moh,recorded,Date the source made the observation available.
source_retrieval_date:drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,source_retrieval_date,2026-05-23,2026-05-23T18:36:26Z,drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,,national_moh,recorded,Archive capture timestamp for this source edition.
source_data_report_date:who-don603-2026-05-21-live,source_data_report_date,2026-05-21,,who-don603-2026-05-21-live,"official WHO count/geography anchor; superseded for headline endpoint by later WHO 22 May remarks where metrics differ, retained as source-date timeline evidence",official_who,recorded,Data/report date the source says the observation describes.
source_publication_date:who-don603-2026-05-21-live,source_publication_date,2026-05-21,,who-don603-2026-05-21-live,"official WHO count/geography anchor; superseded for headline endpoint by later WHO 22 May remarks where metrics differ, retained as source-date timeline evidence",official_who,recorded,Date the source made the observation available.
source_retrieval_date:who-don603-2026-05-21-live,source_retrieval_date,2026-05-23,2026-05-23T19:21:01Z,who-don603-2026-05-21-live,"official WHO count/geography anchor; superseded for headline endpoint by later WHO 22 May remarks where metrics differ, retained as source-date timeline evidence",official_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-current-situation-2026-05-23,source_data_report_date,2026-05-23,,cdc-current-situation-2026-05-23,,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-current-situation-2026-05-23,source_publication_date,2026-05-23,,cdc-current-situation-2026-05-23,,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-current-situation-2026-05-23,source_retrieval_date,2026-05-24,2026-05-24T18:38:45Z,cdc-current-situation-2026-05-23,,official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,source_data_report_date,,,drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,,national_moh,not_recorded,Data/report date the source says the observation describes.
source_publication_date:drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,source_publication_date,2026-05-24,,drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,,national_moh,recorded,Date the source made the observation available.
source_retrieval_date:drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,source_retrieval_date,2026-05-24,2026-05-24T23:53:59Z,drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,,national_moh,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-current-situation-2026-05-24,source_data_report_date,2026-05-24,,cdc-current-situation-2026-05-24,,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-current-situation-2026-05-24,source_publication_date,2026-05-24,,cdc-current-situation-2026-05-24,,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-current-situation-2026-05-24,source_retrieval_date,2026-05-25,2026-05-25T03:58:37Z,cdc-current-situation-2026-05-24,,official_cdc,recorded,Archive capture timestamp for this source edition.
