row_id,date,metric,value,unit,source_id,evidence_ref,source_url,archive_sha256,license,note
timeline:cdc-current-situation-2026-05-20:cases_confirmed,2026-05-19,confirmed_cases,34,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:cdc-current-situation-2026-05-20:cases_confirmed_uganda,2026-05-19,confirmed_cases,2,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:cdc-current-situation-2026-05-20:cases_confirmed_united_states,2026-05-19,confirmed_cases,0,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:cdc-current-situation-2026-05-20:new_confirmed_cases_24_to_48h,2026-05-19,confirmed_cases,26,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:ecdc-bdbv-drc-uga-2026-05-19-live:cases_confirmed,2026-05-19,confirmed_cases,30,count,ecdc-bdbv-drc-uga-2026-05-19-live,source_manifest:ecdc-bdbv-drc-uga-2026-05-19-live,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,CC-BY-4.0,
timeline:cdc-current-situation-2026-05-20:deaths_suspected,2026-05-19,deaths,134,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:cdc-current-situation-2026-05-20:deaths_uganda,2026-05-19,deaths,1,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:ecdc-bdbv-drc-uga-2026-05-19-live:deaths,2026-05-19,deaths,130,count,ecdc-bdbv-drc-uga-2026-05-19-live,source_manifest:ecdc-bdbv-drc-uga-2026-05-19-live,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,CC-BY-4.0,
timeline:cdc-current-situation-2026-05-20:cases_suspected,2026-05-19,suspected_cases,536,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
timeline:cdc-current-situation-2026-05-20:new_suspected_cases_24_to_48h,2026-05-19,suspected_cases,143,count,cdc-current-situation-2026-05-20,source_manifest:cdc-current-situation-2026-05-20,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public-domain-us-gov,
