source_id,publisher,published_at,retrieved_at,source_tier,country_scope,metric,source_field,value
cdc-current-situation-2026-05-23,US Centers for Disease Control and Prevention,2026-05-23T00:00:00Z,2026-05-24T18:38:45Z,official_cdc,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,83
cdc-current-situation-2026-05-23,US Centers for Disease Control and Prevention,2026-05-23T00:00:00Z,2026-05-24T18:38:45Z,official_cdc,COD|UGA,suspected_cases,cases_suspected,746
cdc-current-situation-2026-05-23,US Centers for Disease Control and Prevention,2026-05-23T00:00:00Z,2026-05-24T18:38:45Z,official_cdc,COD|UGA,suspected_cases_drc,cases_suspected_drc,746
cdc-current-situation-2026-05-24,US Centers for Disease Control and Prevention,2026-05-24T00:00:00Z,2026-05-25T03:58:37Z,official_cdc,COD|UGA,confirmed_cases,cases_confirmed,106
cdc-current-situation-2026-05-24,US Centers for Disease Control and Prevention,2026-05-24T00:00:00Z,2026-05-25T03:58:37Z,official_cdc,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,101
cdc-current-situation-2026-05-24,US Centers for Disease Control and Prevention,2026-05-24T00:00:00Z,2026-05-25T03:58:37Z,official_cdc,COD|UGA,suspected_cases,cases_suspected,904
cdc-current-situation-2026-05-24,US Centers for Disease Control and Prevention,2026-05-24T00:00:00Z,2026-05-25T03:58:37Z,official_cdc,COD|UGA,suspected_cases_drc,cases_suspected_drc,904
drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-24T00:00:00Z,2026-05-24T23:53:59Z,national_moh,COD,deaths,dashboard_aggregate.deaths,179
cdc-current-situation-2026-05-25,US Centers for Disease Control and Prevention,2026-05-25T00:00:00Z,2026-05-25T22:17:34Z,official_cdc,COD|UGA,confirmed_cases,cases_confirmed,112
cdc-current-situation-2026-05-25,US Centers for Disease Control and Prevention,2026-05-25T00:00:00Z,2026-05-25T22:17:34Z,official_cdc,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,105
cdc-current-situation-2026-05-25,US Centers for Disease Control and Prevention,2026-05-25T00:00:00Z,2026-05-25T22:17:34Z,official_cdc,COD|UGA,suspected_cases,cases_suspected,906
cdc-current-situation-2026-05-25,US Centers for Disease Control and Prevention,2026-05-25T00:00:00Z,2026-05-25T22:17:34Z,official_cdc,COD|UGA,suspected_cases_drc,cases_suspected_drc,906
ecdc-bdbv-drc-uga-2026-05-25-live,European Centre for Disease Prevention and Control,2026-05-25T16:30:00Z,2026-05-25T18:36:38Z,regional_body,COD|UGA,confirmed_cases,cases_confirmed,101
ecdc-bdbv-drc-uga-2026-05-25-live,European Centre for Disease Prevention and Control,2026-05-25T16:30:00Z,2026-05-25T18:36:38Z,regional_body,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,101
ecdc-bdbv-drc-uga-2026-05-25-live,European Centre for Disease Prevention and Control,2026-05-25T16:30:00Z,2026-05-25T18:36:38Z,regional_body,COD|UGA,suspected_cases,cases_suspected,904
ecdc-bdbv-drc-uga-2026-05-26-live,European Centre for Disease Prevention and Control,2026-05-26T00:00:00Z,2026-05-26T22:13:28Z,regional_body,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,105
ecdc-bdbv-drc-uga-2026-05-26-live,European Centre for Disease Prevention and Control,2026-05-26T00:00:00Z,2026-05-26T22:13:28Z,regional_body,COD|UGA,suspected_cases_drc,cases_suspected_drc,906
ecdc-bdbv-drc-uga-2026-05-27-live,European Centre for Disease Prevention and Control,2026-05-27T00:00:00Z,2026-05-27T17:25:00Z,regional_body,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,121
ecdc-bdbv-drc-uga-2026-05-27-live,European Centre for Disease Prevention and Control,2026-05-27T00:00:00Z,2026-05-27T17:25:00Z,regional_body,COD|UGA,suspected_cases_drc,cases_suspected_drc,1077
inrb-umie-ebola-drc-2026-build-2026-05-27-059661a,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-27T14:33:41Z,2026-05-27T15:57:33Z,national_moh,COD,confirmed_cases_drc,cases_confirmed_drc,121
inrb-umie-ebola-drc-2026-build-2026-05-27-059661a,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-27T14:33:41Z,2026-05-27T15:57:33Z,national_moh,COD,suspected_cases_drc,cases_suspected_drc,1077
inrb-umie-ebola-drc-2026-build-2026-05-27-e40bc9e,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-27T22:00:53Z,2026-05-28T02:41:54Z,national_moh,COD,confirmed_cases_drc,cases_confirmed_drc,121
inrb-umie-ebola-drc-2026-build-2026-05-27-e40bc9e,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-27T22:00:53Z,2026-05-28T02:41:54Z,national_moh,COD,suspected_cases_drc,cases_suspected_drc,1077
inrb-umie-ebola-drc-2026-build-2026-05-28-bb8b7d5,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-28T08:57:13Z,2026-05-28T12:21:16Z,national_moh,COD,confirmed_cases_drc,cases_confirmed_drc,121
inrb-umie-ebola-drc-2026-build-2026-05-28-bb8b7d5,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",2026-05-28T08:57:13Z,2026-05-28T12:21:16Z,national_moh,COD,suspected_cases_drc,cases_suspected_drc,1077
